id;question;option_a;option_b;option_c;option_d;answer_letter
1;¿Qué ion caracteriza a los hidróxidos?;OH⁺;O²⁻;OH⁻;H⁺;C
2;¿Cuál es la fórmula del hidróxido ferroso según nomenclatura tradicional?;Fe(OH)₃;FeOH;Fe(OH)₂;Fe₂(OH)₃;C
3;¿Qué número de oxidación tiene el hidrógeno en los ácidos hidrácidos?;-1;2;0;1;D
4;¿Cuál es el producto de la reacción CaO + H₂O?;CaH₂;Ca(OH)₂;CaO₂;CaOH;B
5;¿Qué sufijo se utiliza en nomenclatura tradicional para el mayor número de oxidación de un metal en hidróxidos?;-oso;-ato;-ico;-ito;C
6;¿Cuál es la fórmula general de los hidróxidos?;M(OH)ₙ;MOₙ;MHₙ;M₂Oₙ;A
7;¿Qué grupos de la tabla periódica forman ácidos hidrácidos con hidrógeno?;IA y IIA;VIA y VIIA;IIIA y IVA;IB y IIB;B
8;¿Cuál es el nombre sistemático de Fe(OH)₃?;Hidróxido de hierro;Hidróxido férrico;Trihidróxido de hierro;Hidróxido de hierro (II);C
9;¿Qué se obtiene al reaccionar un óxido básico con agua?;Un ácido;Una sal;Un hidróxido;Un anhídrido;C
10;¿Cuál es el subíndice del hidrógeno en un oxácido cuando el no metal tiene número de oxidación par?;1;3;2;4;C
11;¿Qué prefijo se usa para indicar 1 molécula de agua en ácidos polihidratados?;Orto;Piro;Meta;Di;C
12;¿Cuál es la fórmula del ácido clorhídrico?;HClO;H₂Cl;HCl;HClO₂;C
13;¿Qué tipo de compuestos son los hidróxidos también llamados?;Ácidos y sales;Bases o álcalis;Óxidos y peróxidos;Anhídridos;B
14;¿Cuál es el nombre tradicional de Ca(OH)₂?;Hidróxido cálcico;Hidróxido de calcio;Dihidróxido de calcio;Hidróxido calcioso;B
15;¿Qué iones liberan los ácidos en disolución acuosa?;OH⁻ o O²⁻;Na⁺ o K⁺;H⁺ o H₃O⁺;Cl⁻ o Br⁻;C
16;¿Cuál es la fórmula del ácido sulfhídrico?;H₂SO₄;HS;H₂S;H₂SO₃;C
17;¿Qué prefijo se utiliza para el mínimo número de oxidación en nomenclatura tradicional de oxácidos?;Per-...-ico;-oso;Hipo-...-oso;-ico;C
18;¿Cuántas moléculas de agua reaccionan con el anhídrido en el ácido pirofosfórico?;1;3;4;2;D
19;¿Cuál es el subíndice del oxígeno en HNO₂ si el nitrógeno tiene número de oxidación +3?;3;4;1;2;D
20;¿Qué se forma al reaccionar CO₂ + H₂O?;H₂CO₂;HCO₃;H₂CO₃;H₄CO₄;C
21;¿Cuál es el nombre Stock de Mn(OH)₂?;Hidróxido de manganeso;Hidróxido de manganeso (II);Hidróxido manganoso;Dihidróxido de manganeso;B
22;¿Qué sufijo reciben los elementos que forman un solo ácido en nomenclatura tradicional?;-oso;-ato;-ico;-ito;C
23;¿Cuál es la fórmula del ácido fosfórico?;HPO₃;H₄P₂O₇;H₃PO₄;H₃PO₃;C
24;¿Qué grupo caracteriza a los peroxiácidos?;O²⁻;O₂²⁻;OH⁻;O₃²⁻;B
25;¿Cuál es el nombre sistemático de NaOH?;Hidróxido sódico;Monohidróxido de sodio;Hidróxido de sodio;Hidróxido de sodio (I);C
26;¿Qué reacción produce un ácido oxácido?;Óxido básico + agua;Óxido ácido + agua;Metal + agua;No metal + hidrógeno;B
27;¿Cuál es la fórmula del ácido perclórico?;HClO;HClO₂;HClO₃;HClO₄;D
28;¿Qué prefijo indica 3 moléculas de agua en ácidos polihidratados?;Meta;Piro;Tri;Orto;D
29;¿Cuál es el número de oxidación del oxígeno en el grupo peroxo?;-2;0;-1;1;C
30;¿Qué nombre recibe HClO en nomenclatura tradicional?;Ácido cloroso;Ácido clórico;Ácido hipocloroso;Ácido perclórico;C
31;¿Cuál es la fórmula general de los ácidos oxácidos?;HₙNMₙOₙ;HₐNMᵦOᵧ;HNM;H₂NMO;B
32;¿Qué grupo sustituye al oxígeno en los tioácidos?;S²⁻;SO₄²⁻;S⁺;S₂O₃²⁻;A
33;¿Cuál es el nombre Stock de HClO₃?;Ácido clórico;Ácido trioxoclórico (V);Ácido cloroso (V);Ácido clórico (III);B
34;¿Qué se obtiene al reaccionar 2B₂O₃ + H₂O?;H₂B₄O₆;H₄B₂O₇;H₂B₄O₇;H₆B₄O₇;C
35;¿Cuál es el nombre tradicional de Fe(OH)₂?;Hidróxido férrico;Hidróxido de hierro;Hidróxido ferroso;Dihidróxido de hierro;C
36;¿Qué denominación reciben también los ácidos oxácidos?;Hidrácidos;Oxiácidos u Oxoácidos;Bases;Anhídridos;B
37;¿Cuál es la fórmula del ácido metafosfórico?;H₃PO₄;HPO₃;H₄P₂O₇;H₃PO₃;B
38;¿Qué prefijo se usa cuando se sustituyen todos los oxígenos por azufre en tioácidos?;Tio;Sulfo;Ditio;Persulfo;B
39;¿Cuál es el subíndice del hidrógeno en H₂SO₄ si el azufre tiene número de oxidación +6?;1;4;2;3;C
40;¿Qué nombre sistemático tiene HClO₄?;Tetraoxoclorato (VII) de hidrógeno;Perclorato de hidrógeno;Clorato (VII) de hidrógeno;Trioxoclorato (V) de hidrógeno;A
41;¿Cuál es la fórmula del ácido dicrómico?;H₂CrO₄;HCrO₃;H₂Cr₂O₇;H₄Cr₂O₇;C
42;¿Qué compuestos binarios forman los ácidos hidrácidos?;Metal + oxígeno;Hidrógeno + no metal;Hidrógeno + metal;No metal + oxígeno;B
43;¿Cuál es el nombre tradicional de H₄P₂O₇?;Ácido fosfórico;Ácido metafosfórico;Ácido ortofosfórico;Ácido pirofosfórico;D
44;¿Qué número de oxidación tiene el metal en el hidróxido férrico?;1;2;4;3;D
45;¿Cuál es la fórmula del ácido nítrico?;HNO₂;H₂NO₃;HNO₃;HNO;C
46;¿Qué prefijo se usa para el mayor número de oxidación en nomenclatura tradicional de oxácidos?;Hipo-...-oso;-oso;Per-...-ico;-ico;C
47;¿Cuál es el nombre sistemático de Ca(OH)₂?;Hidróxido de calcio;Monohidróxido de calcio;Hidróxido cálcico;Dihidróxido de calcio;D
48;¿Qué reacción produce H₂S₂O₃?;H₂SO₃ + S;H₂SO₄ + H₂O;H₂SO₄ + H₂S;H₂S + SO₂;C
49;¿Cuál es el nombre Stock de H₂SO₅?;Ácido peroxisulfúrico;Ácido sulfúrico (VI);Ácido trioxoperoxisulfúrico (VI);Ácido pentaoxosulfúrico;C
50;¿Qué elementos forman principalmente ácidos polihidratados?;Na, K, Ca;C, N, O;P, As, Sb, B, Si;Fe, Cu, Zn;C
51;¿Cuál es la fórmula del ácido sulfuroso?;H₂SO₄;HSO₃;H₂SO₃;H₂S;C
52;¿Qué nomenclatura usa números romanos para indicar el número de oxidación?;Tradicional;Sistemática;IUPAC;Stock;D
53;¿Cuál es el nombre tradicional de HClO₂?;Ácido hipocloroso;Ácido perclórico;Ácido clórico;Ácido cloroso;D
54;¿Qué se obtiene al sumar el número de oxidación del no metal más el subíndice del hidrógeno en oxácidos?;El número total de átomos;El doble del subíndice del oxígeno;La mitad del subíndice del oxígeno;El subíndice del no metal;B
55;¿Cuál es el nombre sistemático de HNO₃?;Trioxonitrato (V) de hidrógeno;Nitrato de hidrógeno;Ácido nítrico;Oxonitrato de hidrógeno;A
56;¿Qué prefijo indica sustitución parcial de oxígeno por azufre en tioácidos?;Sulfo;Persulfo;Ditio;Tio;D
57;¿Cuál es la fórmula del ácido tetrabórico?;H₂B₄O₆;H₄B₂O₇;H₂B₄O₇;H₆B₄O₇;C
58;¿Qué tipo de óxido reacciona con agua para formar hidróxidos?;Óxido ácido;Óxido neutro;Óxido anfótero;Óxido básico;D
59;¿Cuál es el nombre tradicional de Mn(OH)₂?;Hidróxido mangánico;Hidróxido de manganeso;Hidróxido manganoso;Dihidróxido de manganeso;C
60;¿Qué se forma al reaccionar 2CrO₃ + H₂O?;H₂CrO₄;H₄Cr₂O₈;H₂Cr₂O₇;HCrO₃;C
61;¿Cuál es el nombre Stock de Fe(OH)₃?;Hidróxido de hierro (II);Hidróxido férrico;Hidróxido de hierro (III);Trihidróxido de hierro;C
62;¿Qué nombre recibe el ácido HNS₂O?;Ácido tionítrico;Ácido sulfonítrico;Ácido ditionítrico;Ácido tritionítrico;C
63;¿Cuál es la mitad de 4 en la fórmula de HNO₂?;1;3;4;2;D
64;¿Qué compuestos resultan de sustituir oxígeno por azufre en oxácidos?;Peroxiácidos;Hidrácidos;Poliácidos;Tioácidos;D
65;¿Cuál es el nombre sistemático de HClO?;Monoxoclorato (I) de hidrógeno;Oxoclorato de hidrógeno;Clorato (I) de hidrógeno;Oxoclorato (I) de hidrógeno;D
66;¿Qué sufijo se usa para el menor número de oxidación en nomenclatura tradicional de hidróxidos?;-ico;-ato;-ito;-oso;D
67;¿Cuál es la fórmula del ácido carbónico?;H₂CO₂;HCO₃;H₄CO₄;H₂CO₃;D
68;¿Qué número de oxidación tiene el hidrógeno en hidróxidos?;0;-1;2;1;D
69;¿Cuál es el nombre tradicional de H₂Cr₂O₇?;Ácido crómico;Ácido percrómico;Ácido dicrómico;Ácido crómico (VI);C
70;¿Qué ion forma el grupo oxhidrilo?;O²⁻;H⁺;OH⁺;OH⁻;D
71;¿Qué tipo de iones forman las sales?;Solo cationes monoatómicos;Solo aniones poliatómicos;Cationes y aniones monoatómicos o poliatómicos;Solo iones monoatómicos;C
72;¿Cuál es un ejemplo de catión poliatómico?;Cl⁻;Na⁺;NH₄⁺;S²⁻;C
73;¿Qué caracteriza a las sales haloideas?;Contienen oxígeno;No contienen oxígeno;Solo tienen cationes;Solo tienen aniones;B
74;¿Cuál es la fórmula del carbonato de sodio?;NaCO₃;Na₂CO₃;Na₃CO₃;NaCO₂;B
75;¿Qué reacción produce sales?;Ácido + agua;Metal + oxígeno;Ácido + base;Base + agua;C
76;¿Cuál es el nombre tradicional de NaHCO₃?;Carbonato de sodio;Bicarbonato de sodio;Hidróxido de sodio;Sulfato de sodio;B
77;¿Qué ion es monoatómico aniónico?;NH₄⁺;H₃O⁺;Ca²⁺;Cl⁻;D
78;¿Cuál es la fórmula del cloruro de calcio?;CaCl;Ca₂Cl;CaCl₂;Ca₂Cl₂;C
79;¿De qué provienen las peroxisales?;Ácidos hidrácidos;Peroxoácidos;Hidróxidos;Óxidos básicos;B
80;¿Cuál es el nombre sistemático de NaClO₃?;Clorato de sodio;Clorito de sodio;Trioxoclorato(V) de sodio;Perclorato de sodio;C
81;¿Qué producto se forma al reaccionar H₂SO₄ + 2NaOH?;Na₂SO₃;NaSO₄;H₂O + Na₂SO₄;H₂O + NaSO₄;C
82;¿Cuál es un ejemplo de anión poliatómico?;Na⁺;Al³⁺;SO₄²⁻;Zn²⁺;C
83;¿Qué tipo de sal es CaSO₄?;Sal haloidea;Oxisal;Tiosal;Peroxisal;B
84;¿Cuál es la fórmula del sulfuro de sodio?;NaS;Na₃S;NaS₂;Na₂S;D
85;¿Qué ion lleva el seleniuro dibásico de bario además del selenio?;H⁺;Cl⁻;OH⁻;SO₄²⁻;C
86;¿Cuál es el nombre Stock de Cr(ClO₄)₃?;Perclorato de cromo;Perclorato crómico;Perclorato de cromo (III);Clorato de cromo (III);C
87;¿Qué se obtiene al reaccionar Ca(OH)₂ + 2HCl?;CaCl + H₂O;CaCl₂ + 2H₂O;Ca₂Cl₂ + H₂O;CaCl₂ + H₂O;B
88;¿Cuál es la fórmula del ion sulfito?;SO₄²⁻;SeO₃²⁻;SeO₄²⁻;SO₃²⁻;D
89;¿Qué caracteriza a las sales dobles haloideas?;Tienen dos oxígenos;Tienen dos cationes diferentes;Tienen dos aniones iguales;Tienen dos hidrógenos;B
90;¿Cuál es el nombre IUPAC de CaSO₄?;Sulfato de calcio;Tetraoxosulfato(VI) de calcio;Sulfito de calcio;Trioxosulfato(IV) de calcio;B
91;¿De qué provienen las tiosales?;Ácidos hidrácidos;Hidróxidos;Peroxoácidos;Tioácidos;D
92;¿Cuál es la fórmula del carbonato de calcio?;CaCO₃;CaSO₃;KClO₃;Na₂CO₃;A
93;¿Qué producto se forma al reaccionar 2NaOH + H₂S?;NaS + H₂O;Na₂S + 2H₂O;Na₂S + H₂O;NaHS + H₂O;B
94;¿Cuál es el nombre sistemático de NaHCO₃?;Bicarbonato de sodio;Carbonato de sodio;Hidrogeno carbonato de sodio;Hidrogenotrioxocarbonato(IV) de sodio;D
95;¿Qué ion poliatómico catiónico se menciona en el texto?;ClO₃⁻;SO₄²⁻;H₃O⁺;HPO₄²⁻;C
96;¿Cuál es la fórmula de la sal común?;NaI;Na₂S;CaS;NaCl;D
97;¿Qué tipo de sales son las que llevan moléculas de agua en su constitución?;Peroxisales;Tiosales;Hidratos;Sales dobles;C
98;¿Cuál es el nombre tradicional de BiNaS₂?;Sulfuro de bismuto;Sulfato de bismuto y sodio;Sulfuro de bismuto y sodio;Disulfuro de sodio;C
99;¿Qué se obtiene al reaccionar CaO + H₂SO₄?;CaSO₃ + H₂O;Ca₂SO₄ + H₂O;CaSO₄ + H₂;CaSO₄ + H₂O;D
100;¿Cuál es la fórmula del clorato de potasio?;KCl;KClO₃;KCl₂;KClO;B
101;¿Qué ion aniónico poliatómico contiene fósforo?;NO₃⁻;ClO₃⁻;HPO₄²⁻;MnO₄⁻;C
102;¿Cuál es el nombre Stock de Bi(HS)₃?;Sulfuro de bismuto;Hidrogeno sulfuro de bismuto;Tris[hidrogeno sulfuro] de bismuto;Sulfato de bismuto;B
103;¿Qué producto se obtiene al reaccionar HClO₃ + NaOH?;NaCl + H₂O;NaClO₂ + H₂O;NaClO₃ + H₂O;NaClO₄ + H₂O;C
104;¿Cuál es la fórmula del tiosulfato de sodio?;Na₂SO₃;NaS₂O₃;Na₂S₂O₃;Na₂SO₄;C
105;¿Qué tipo de sal es Fe(MnO₅)₃?;Sal haloidea;Oxisal;Tiosal;Peroxisal;D
106;¿Cuál es el nombre IUPAC de Ba₂(OH)₂Se?;Seleniuro de bario;Dihidroxiseleniuro de dibario;Seleniato de bario;Selenito dibásico de bario;B
107;¿Qué se forma al reaccionar 2Cr + 6HClO₄?;2Cr(ClO₃)₃ + 3H₂;Cr₂(ClO₄)₃ + 3H₂;2Cr(ClO₄)₃ + 3H₂;2CrClO₄ + 3H₂;C
108;¿Cuál es el nombre tradicional de Co(OH)₂NO₃?;Nitrato cobaltico;Nitrito dibásico cobaltico;Nitrato dibásico cobaltico;Nitrato cobaltoso;C
109;¿Qué caracteriza a las oxisales?;No tienen oxígeno;Llevan oxígeno en su fórmula;Solo tienen hidrógeno;No tienen cationes;B
110;¿Cuál es la fórmula del bisulfito de litio?;LiHSO₃;LiHSO₄;LiH₂SO₃;LiHSO₂;A
111;¿Qué compuesto contiene CuSO₄·5H₂O?;Sulfato cúprico;Sulfato cúprico pentahidratado;Sulfito cúprico;Sulfato de cobre monohidratado;B
112;¿Cuál es el nombre sistemático de KNi(SeO₄)₂?;Seleniato de potasio;Selenito de níquel;Bis[tetraoxoseleniato(VI)] de potasio y níquel (III);Seleniato de potasio y níquel;C
113;¿Qué ion monoatómico tiene carga -2?;Cl⁻;N³⁻;H⁺;S²⁻;D
114;¿Cuál es la fórmula del bicarbonato de amonio?;NH₄HCO₃;NH₄H₂CO₃;(NH₄)₂HCO₃;(NH₄)₂CO₃;A
115;¿De qué está mayormente compuesto el Salar de Uyuni según el texto?;Cloruro de calcio;Cloruro de litio;Cloruro de magnesio;Cloruro de sodio;D
116;¿Cuál es el nombre tradicional de Na₂S₂O₃?;Sulfato de sodio;Sulfito de sodio;Tiosulfato de sodio;Tiosulfito de sodio;C
117;¿Qué producto se obtiene al reaccionar ácidos oxácidos con bases?;Sales haloideas;Hidratos;Oxisales;Tiosales;C
118;¿Cuál es el nombre IUPAC de Ni(ClS₂)₃?;Clorito de níquel;Tris[sulfoclorato(III)] de níquel (III);Sulfoclorito de níquel;Diclorosulfuro de níquel;B
119;¿Qué ion es el permanganato?;SO₄²⁻;NO₃⁻;MnO₄⁻;ClO₃⁻;C
120;¿Cuál es la fórmula del carbonato de sodio y amonio?;NaNH₃CO₃;NaNH₄CO₃;NaNH₂CO₂;NaNH₃CO₂;B
121;¿Qué caracteriza a las sales que llevan hidrógeno en el grupo aniónico?;Son peroxisales;Son tiosales;Tienen aniones con H;Son sales dobles;C
122;¿Cuál es la fórmula del fosfato de calcio?;Ca₃(PO₄)₂;Ca₃(PO₃)₂;Ca(PO₃)₂;Ca₂PO₄;A
123;¿Qué nombre recibe K₂S₂O₃?;Bisulfato de potasio;Bisulfito de potasio;Tiosulfato de potasio;Tiosulfito de potasio;C
124;¿Cuál es el nombre Stock de Fe(MnO₅)₃?;Permanganato de hierro;Peroxopermanganato férrico;Peroxopermanganato de hierro (III);Manganato de hierro (III);C
125;¿Qué tipo de catión es Al³⁺?;Poliatómico;Diatómico;Triatómico;Monoatómico;D
126;¿Cuál es la fórmula del principal componente de la lavandina?;NaClO;HClO₃;HCl;NaCl;A
127;¿Qué anión contiene el nitrato de amonio?;SO₄²⁻;PO₄³⁻;NO₃⁻;ClO₃⁻;C
128;¿Cuál es el nombre sistemático de Co(OH)₂NO₃?;Nitrato de cobalto;Dihidroxidonitrato de cobalto;Dihidroxidotrioxonitrato(V) de cobalto (III);Hidroxidonitrato de cobalto;C
129;"¿Qué indica el término ""decahidratado"" en Na₂B₄O₇·10H₂O?";Tiene 10 iones;Tiene 10 átomos de sodio;Tiene 10 moléculas de agua;Tiene 10 átomos de oxígeno;C
130;¿Cuál es el nombre tradicional de CaSO₄?;Sulfito de calcio;Sulfato de calcio;Carbonato de calcio;Fosfato de calcio;B
131;¿Qué ion forma parte del dihidrogenofosfato?;PO₄³⁻;HPO₄²⁻;H₂PO₄⁻;SO₄²⁻;C
132;¿Cuál es el nombre IUPAC de NaClO₃?;Clorato de sodio;Trioxoclorato(V) de sodio;Dioxoclorato de sodio;Perclorato de sodio;B
133;¿Qué caracteriza a una sal doble de oxisal?;Tiene dos oxígenos;Tiene dos cationes diferentes;Tiene dos hidrógenos;Tiene dos aniones iguales;B
134;¿Cuál es el nombre Stock de NaHCO₃?;Bicarbonato de sodio;Hidrogeno carbonato de sodio;Carbonato de sodio;Carbonato ácido de sodio;B
135;¿Qué se obtiene al reaccionar ácidos hidrácidos con hidróxidos?;Oxisales;Sales haloideas;Peroxisales;Tiosales;B
136;¿Cuál es el nombre tradicional de Ni(ClS₂)₃?;Clorito niquélico;Sulfoclorito niquélico;Clorosulfato de níquel;Diclorosulfuro niquélico;B
137;¿Qué ion poliatómico aniónico contiene azufre?;NO₃⁻;ClO₃⁻;MnO₄⁻;SO₄²⁻;D
138;¿Cuál es la fórmula del clorato manganoso?;Mn(ClO₄)₂;MnCl₂;Mn(ClO)₂;Mn(ClO₃)₂;D
139;"¿Qué nombre recibe el prefijo ""bis"" en nomenclatura IUPAC de sales?";Indica un átomo;Indica dos grupos;Indica tres moléculas;Indica dos cationes;B
140;¿Cuál es el nombre tradicional de KNi(SeO₄)₂?;Seleniato de potasio;Selenito de níquel;Seleniato de potasio-niquélico;Selenato de níquel y potasio;C
141;¿Qué es un enlace químico?;Una partícula subatómica;La fuerza que une átomos para formar compuestos;Un tipo de energía nuclear;Una reacción de combustión;B
142;¿Cómo se denomina la energía necesaria para romper un enlace químico?;Energía cinética;Energía potencial;Energía de enlace;Energía térmica;C
143;¿Qué electrones participan en la formación de compuestos?;Los del núcleo;Los del primer nivel;Los del último nivel de energía;Los de todos los niveles;C
144;¿Quién formuló la regla del octeto?;Mendeleev;G. N. Lewis;Bohr;Pauling;B
145;¿Cuántos electrones tiene el helio en su último nivel considerado estable?;8;4;6;2;D
146;¿Cuál es el elemento más electronegativo según el texto?;Oxígeno;Cloro;Flúor;Nitrógeno;C
147;¿Qué valor de electronegatividad tiene el flúor?;3;3,5;4,5;4;D
148;¿Qué tienden a hacer los elementos de alta electronegatividad?;Perder electrones;Ganar electrones;Compartir protones;Perder protones;B
149;¿Qué número de oxidación adquiere el calcio al ceder dos electrones?;1;3;2;-2;C
150;¿Qué configuración electrónica adquiere el Ca²⁺ al ceder electrones?;[Ne];[Ar];[Kr];[Xe];C
151;¿Cuántos electrones de valencia tiene el cloro según [Ne]3s²3p⁵?;5;6;7;8;C
152;¿Qué número de oxidación adquiere el cloro al captar un electrón?;1;-2;2;-1;D
153;¿Qué tipo de enlace se forma cuando el cloro comparte electrones con elementos más electronegativos?;Iónico;Metálico;Covalente;Dativo;C
154;¿Cuántos electrones puede compartir el cloro para adquirir número de oxidación +7?;3;5;7;1;C
155;¿Qué tipo de enlace se forma en la molécula Cl₂?;Covalente simple;Covalente doble;Covalente triple;Iónico;A
156;¿Por qué los elementos de transición incumplen la regla del octeto?;Tienen pocos electrones;Completan el subnivel d con hasta 10 electrones;No forman enlaces;Tienen configuración estable;B
157;¿Cuántos electrones de valencia suma el monóxido de nitrógeno (NO)?;10;12;11;9;C
158;¿Cuántos electrones compartidos alcanza el boro en BF₃?;8;4;6;7;C
159;¿Cuántos enlaces simples forma el fósforo en PCl₅?;3;4;5;6;C
160;¿Cómo se representan los electrones externos en los símbolos de Lewis?;Círculos;Líneas;Puntos o asteriscos;Cruces;C
161;¿Qué otro nombre recibe el enlace iónico?;Enlace covalente;Enlace electrovalente;Enlace metálico;Enlace polar;B
162;¿Entre qué tipo de elementos ocurre normalmente el enlace iónico?;Metales y no metales;Solo metales;Solo no metales;Gases nobles;A
163;¿Qué nombre recibe el ion positivo formado en un enlace iónico?;Anión;Catión;Electrón;Protón;B
164;¿Qué nombre recibe el ion negativo formado en un enlace iónico?;Catión;Protón;Anión;Neutrón;C
165;¿Entre qué tipo de elementos ocurre generalmente el enlace covalente?;Metales y no metales;Solo metales;Elementos no metálicos;Solo gases nobles;C
166;¿Cuántos pares de electrones se comparten en un enlace covalente simple?;3;2;4;1;D
167;¿Cómo se representa un enlace covalente doble?;Una línea;Dos líneas paralelas;Tres líneas paralelas;Cuatro líneas;B
168;¿Cuántos electrones aporta cada átomo en un enlace covalente triple?;1;2;4;3;D
169;¿Qué ejemplo representa un enlace covalente triple según el texto?;O₂;H₂;N₂;Cl₂;C
170;¿Qué caracteriza al enlace covalente coordinado o dativo?;Ambos átomos aportan electrones;El par electrónico procede solo de uno de los átomos;No hay compartición;Hay transferencia total;B
171;¿Cuántos enlaces covalentes coordinados presenta SO₃?;1;3;2;4;C
172;¿Qué rango de diferencia de electronegatividad caracteriza al enlace covalente polar?;0,1 a 0,3;0,4 a 1,7;1,8 a 2,5;2,6 a 3,0;B
173;¿Qué diferencia de electronegatividad caracteriza al enlace covalente no polar?;Mayor a 1,7;Inferior a 0,4;Entre 0,5 y 1,0;Mayor a 2,0;B
